num;Name;Profile ID;Date;Likes;Comment;Comment ID;Profile URL;Comment URL
61;cirogustavotovardaniel;26956562779;03/11/2023 23:42;0;ATU =mafia falta de empatía para el público y los transportistas ATU y la ctm;1,80E+16;https://www.instagram.com/cirogustavotovardaniel/;https://www.instagram.com/p/CzMR63HuST8/c/18006583720902632
62;alanceleste_;26402155119;03/11/2023 23:58;0;Siguen con su monopolios;1,80E+16;https://www.instagram.com/alanceleste_/;https://www.instagram.com/p/CzMR63HuST8/c/18030146551631870
63;reateguichristian;2167709969;04/11/2023 0:25;0;Así vienen con el mismo cuento hace un año;1,79E+16;https://www.instagram.com/reateguichristian/;https://www.instagram.com/p/CzMR63HuST8/c/17866599726011441
64;alesl.96;7698271718;04/11/2023 2:09;0;Así no más engañan;1,80E+16;https://www.instagram.com/alesl.96/;https://www.instagram.com/p/CzMR63HuST8/c/18043754293545175
65;edher_yosoypez;1642216096;04/11/2023 3:10;0;Dicen y dicen y nada ....;1,80E+16;https://www.instagram.com/edher_yosoypez/;https://www.instagram.com/p/CzMR63HuST8/c/17998062290076311
66;santiagogarcia42;506982712;04/11/2023 3:43;0;Estfadorez vivo en la av universitaria y ests toda abandonada;1,80E+16;https://www.instagram.com/santiagogarcia42/;https://www.instagram.com/p/CzMR63HuST8/c/17997116324200352
67;johannescantautor;3638677293;04/11/2023 7:00;0;@trepesinapsiz le creemos ?;1,81E+16;https://www.instagram.com/johannescantautor/;https://www.instagram.com/p/CzMR63HuST8/c/18078998536404291
68;trepesinapsiz;1049979029;04/11/2023 11:07;0;@johannescantautor ajajajajaja a ver ps mínimo inauguramos dices hahaha;1,80E+16;https://www.instagram.com/trepesinapsiz/;https://www.instagram.com/p/CzMR63HuST8/c/18019917055864830
69;pabloosnar;37852238753;04/11/2023 12:37;0;Florazo, el otro año seguro;1,80E+16;https://www.instagram.com/pabloosnar/;https://www.instagram.com/p/CzMR63HuST8/c/18024593233633220
70;vilcavenegas;1293124818;04/11/2023 12:39;0;@heisenberg1513 debió salir hace más de 8 años;1,79E+16;https://www.instagram.com/vilcavenegas/;https://www.instagram.com/p/CzMR63HuST8/c/17886921278946877
